dfci_ref,status,osm_way_id,hausdorff_m,overlap_pct,existing_tag
G52,matched,288391521,6.9,100.0,
G44,no_match,,,,
B138,matched,724586213,12.1,100.0,
Y12,no_match,,,,
Y16,matched,1458561180,25.1,100.0,
B62,matched,391240253,9.7,100.0,
C39,matched,230720943,2.2,100.0,
B17,matched,433811943,8.3,100.0,
E35,no_match,,,,
G52,no_match,,,,
G31,no_match,,,,
G48,matched,1024402736,7.7,100.0,
L7,matched,31115197,3.7,100.0,
B17,matched,1329212515,4.1,100.0,
Y23,no_match,,,,
U33,no_match,,,,
G12,no_match,,,,
M41,no_match,,,,
U62,matched,272522256,3.2,100.0,
U19,matched,514191198,1.7,100.0,
S27,matched,816537925,27.0,100.0,
B123,no_match,,,,
M52,no_match,,,,
B40,matched,282790154,17.4,100.0,
M19,matched,598728922,5.1,100.0,
B138,no_match,,,,
B17,matched,115324806,19.6,100.0,
B42,no_match,,,,
B57,matched,720529596,10.0,100.0,
B17,no_match,,,,
U17,matched,200414723,2.9,100.0,
K21,matched,300631796,5.1,100.0,
D77,no_match,,,,
E44,no_match,,,,
B24,matched,435278773,8.3,100.0,
G16,no_match,,,,
A59,matched,1019902898,8.3,100.0,
L56,matched,769695235,10.2,100.0,
D33,matched,447900661,3.9,100.0,
L1,no_match,,,,
B17,no_match,,,,
M53,no_match,,,,
L30,no_match,,,,
D18,no_match,,,,
B22,no_match,,,,
C42,matched,161466514,8.2,100.0,
B24,no_match,,,,
M29,no_match,,,,
L28,no_match,,,,
A136,no_match,,,,
