dfci_ref,status,osm_way_id,hausdorff_m,overlap_pct,existing_tag
G52,matched,288391521,6.9,100.0,
G44,no_match,,,,
B138,matched,724586213,12.1,100.0,
Y12,no_match,,,,
Y16,matched,1458561180,25.1,100.0,
B62,no_match,,,,
C39,no_match,,,,
B17,no_match,,,,
E35,no_match,,,,
G52,no_match,,,,
G31,no_match,,,,
G48,no_match,,,,
L7,no_match,,,,
B17,no_match,,,,
Y23,no_match,,,,
U33,no_match,,,,
G12,no_match,,,,
M41,no_match,,,,
U62,matched,272522256,3.2,100.0,
U19,no_match,,,,
S27,no_match,,,,
B123,no_match,,,,
M52,no_match,,,,
B40,no_match,,,,
M19,matched,598728922,5.1,100.0,
B138,matched,724586213,3.4,100.0,
B17,no_match,,,,
B42,no_match,,,,
B57,no_match,,,,
B17,matched,1329212515,1.0,100.0,
U17,matched,200414723,2.9,100.0,
K21,no_match,,,,
D77,matched,247427499,3.4,100.0,
E44,no_match,,,,
B24,no_match,,,,
G16,no_match,,,,
A59,matched,1019902898,8.3,100.0,
L56,no_match,,,,
D33,no_match,,,,
L1,no_match,,,,
B17,no_match,,,,
M53,no_match,,,,
nan/nan,matched,168585643,33.8,79.0,
L30,no_match,,,,
D18,no_match,,,,
B22,no_match,,,,
C42,no_match,,,,
B24,no_match,,,,
M29,no_match,,,,
L28,no_match,,,,
